Borough,Datetime,Entries,Exits
Bk,2017-09-12,1250971.0,807206.0
Bk,2017-09-13,1252771.0,807896.0
Bk,2017-09-14,1247773.0,794809.0
Bk,2017-09-15,1230845.0,796175.0
Bk,2017-09-16,727616.0,542159.0
Bk,2017-09-17,606675.0,463627.0
Bk,2017-09-18,1211711.0,776405.0
Bk,2017-09-19,1218342.0,782017.0
Bk,2017-09-20,1197715.0,774175.0
Bk,2017-09-21,1061032.0,707138.0
Bk,2017-09-22,1068494.0,706345.0
Bk,2017-09-23,711774.0,522266.0
Bk,2017-09-24,614087.0,466515.0
Bk,2017-09-25,1207913.0,773990.0
Bk,2017-09-26,1234836.0,786462.0
Bk,2017-09-27,1248416.0,797877.0
Bk,2017-09-28,1256828.0,799256.0
Bk,2017-09-29,1199144.0,780778.0
Bk,2017-09-30,671103.0,491291.0
Bk,2017-10-01,580480.0,438158.0
Bk,2017-10-02,1211326.0,770512.0
Bk,2017-10-03,1247672.0,789736.0
Bk,2017-10-04,1245913.0,799102.0
Bk,2017-10-05,1221086.0,784997.0
Bk,2017-10-06,1185214.0,760856.0
Bk,2017-10-07,701426.0,526578.0
Bk,2017-10-08,547097.0,420364.0
Bk,2017-10-09,824982.0,570715.0
Bk,2017-10-10,1229549.0,786920.0
Bk,2017-10-11,1221945.0,792412.0
Bk,2017-10-12,1211419.0,770677.0
Bk,2017-10-13,1188324.0,774560.0
Bk,2017-10-14,700532.0,516755.0
Bk,2017-10-15,576832.0,430874.0
Bk,2017-10-16,1217667.0,770571.0
Bk,2017-10-17,1241635.0,786852.0
Bk,2017-10-18,1252563.0,793655.0
Bk,2017-10-19,1237953.0,793283.0
Bk,2017-10-20,1246383.0,799376.0
Bk,2017-10-21,723693.0,532614.0
Bk,2017-10-22,588015.0,441880.0
Bk,2017-10-23,1209550.0,778350.0
Bk,2017-10-24,1207517.0,769158.0
Bk,2017-10-25,1264208.0,812109.0
Bk,2017-10-26,1263691.0,808552.0
Bk,2017-10-27,1237983.0,800935.0
Bk,2017-10-28,725563.0,534133.0
Bk,2017-10-29,479601.0,372721.0
Bk,2017-10-30,1195806.0,758235.0
Bk,2017-10-31,1234696.0,796970.0
Bk,2017-11-01,1247913.0,800790.0
Bk,2017-11-02,1258158.0,802565.0
Bk,2017-11-03,1234379.0,796708.0
Bk,2017-11-04,728146.0,520915.0
Bk,2017-11-05,630849.0,459829.0
Bk,2017-11-06,1201602.0,762848.0
Bk,2017-11-07,1108534.0,733843.0
Bk,2017-11-08,1240827.0,794977.0
Bk,2017-11-09,1257223.0,804248.0
Bk,2017-11-10,1117984.0,743780.0
Bk,2017-11-11,669469.0,499508.0
Bk,2017-11-12,556528.0,432526.0
Bk,2017-11-13,1186095.0,746939.0
Bk,2017-11-14,1237937.0,789632.0
Bk,2017-11-15,1246844.0,794117.0
Bk,2017-11-16,1233863.0,788531.0
Bk,2017-11-17,1221582.0,785560.0
Bk,2017-11-18,672915.0,487052.0
Bk,2017-11-19,562179.0,411944.0
Bk,2017-11-20,1198291.0,753038.0
Bk,2017-11-21,1207507.0,769714.0
Bk,2017-11-22,1132179.0,727278.0
Bk,2017-11-23,463033.0,341912.0
Bk,2017-11-24,734592.0,509527.0
Bk,2017-11-25,588973.0,433116.0
Bk,2017-11-26,492596.0,380080.0
Bk,2017-11-27,1175088.0,749399.0
Bk,2017-11-28,1227027.0,781632.0
Bk,2017-11-29,1233292.0,787531.0
Bk,2017-11-30,1232490.0,783695.0
Bk,2017-12-01,1231998.0,788084.0
Bk,2017-12-02,713493.0,522403.0
Bk,2017-12-03,550129.0,416323.0
Bk,2017-12-04,1209036.0,757173.0
Bk,2017-12-05,1218364.0,775303.0
Bk,2017-12-06,1239822.0,785531.0
Bk,2017-12-07,1250442.0,790860.0
Bk,2017-12-08,1217795.0,776840.0
Bk,2017-12-09,651235.0,489201.0
Bk,2017-12-10,574650.0,423943.0
Bk,2017-12-11,1181718.0,746798.0
Bk,2017-12-12,1221529.0,775943.0
Bk,2017-12-13,1181785.0,753808.0
Bk,2017-12-14,1206726.0,763531.0
Bk,2017-12-15,1189621.0,763871.0
Bk,2017-12-16,717758.0,517724.0
Bk,2017-12-17,587131.0,437114.0
Bk,2017-12-18,1183236.0,737629.0
Bk,2017-12-19,1206791.0,765964.0
Bk,2017-12-20,1194805.0,766062.0
Bk,2017-12-21,1160093.0,741823.0
Bk,2017-12-22,1094646.0,706123.0
Bk,2017-12-23,578964.0,414394.0
Bk,2017-12-24,497987.0,363055.0
Bk,2017-12-25,338523.0,260546.0
Bk,2017-12-26,765542.0,521408.0
Bk,2017-12-27,866743.0,587550.0
Bk,2017-12-28,859468.0,580215.0
Bk,2017-12-29,867280.0,579978.0
Bk,2017-12-30,552896.0,404242.0
Bk,2017-12-31,488204.0,368081.0
Bk,2018-01-01,423115.0,322887.0
Bk,2018-01-02,1012263.0,652411.0
Bk,2018-01-03,1107611.0,713755.0
Bk,2018-01-04,566521.0,410776.0
Bk,2018-01-05,972902.0,611757.0
Bk,2018-01-06,532317.0,401571.0
Bk,2018-01-07,469149.0,343907.0
Bk,2018-01-08,1117198.0,710230.0
Bk,2018-01-09,1158956.0,743410.0
Bk,2018-01-10,1175473.0,763613.0
Bk,2018-01-11,1175962.0,751191.0
Bk,2018-01-12,1115840.0,714652.0
Bk,2018-01-13,630256.0,471054.0
Bk,2018-01-14,498369.0,380325.0
Bk,2018-01-15,705000.0,489681.0
Bk,2018-01-16,1130380.0,718252.0
Bk,2018-01-17,1122991.0,723479.0
Bk,2018-01-18,1159001.0,738641.0
Bk,2018-01-19,1147969.0,738238.0
Bk,2018-01-20,671631.0,489128.0
Bk,2018-01-21,522194.0,389713.0
Bk,2018-01-22,1098297.0,704531.0
Bk,2018-01-23,1105286.0,707775.0
Bk,2018-01-24,1141825.0,734563.0
Bk,2018-01-25,1122126.0,714549.0
Bk,2018-01-26,1115229.0,712550.0
Bk,2018-01-27,668681.0,492945.0
Bk,2018-01-28,513140.0,386172.0
Bk,2018-01-29,1123058.0,713189.0
Bk,2018-01-30,1173402.0,748512.0
Bk,2018-01-31,1181232.0,760917.0
Bk,2018-02-01,1189729.0,758518.0
Bk,2018-02-02,1151180.0,741716.0
Bk,2018-02-03,638917.0,472298.0
Bk,2018-02-04,507562.0,375833.0
Bk,2018-02-05,1158450.0,735439.0
Bk,2018-02-06,1195514.0,758575.0
Bk,2018-02-07,1139551.0,726191.0
Bk,2018-02-08,1202913.0,757132.0
Bk,2018-02-09,1168469.0,746902.0
Bk,2018-02-10,637609.0,463377.0
Bk,2018-02-11,467091.0,346284.0
Bk,2018-02-12,1120908.0,709569.0
Bk,2018-02-13,1201065.0,762004.0
Bk,2018-02-14,1205608.0,766366.0
Bk,2018-02-15,1187410.0,760186.0
Bk,2018-02-16,1043048.0,677855.0
Bk,2018-02-17,617823.0,451223.0
Bk,2018-02-18,522594.0,382052.0
Bk,2018-02-19,705313.0,474633.0
Bk,2018-02-20,1077164.0,690326.0
Bk,2018-02-21,1124545.0,726970.0
Bk,2018-02-22,1081250.0,707058.0
Bk,2018-02-23,1061075.0,689283.0
Bk,2018-02-24,647738.0,468913.0
Bk,2018-02-25,494582.0,369837.0
Bk,2018-02-26,1166333.0,737843.0
Bk,2018-02-27,1203960.0,767319.0
Bk,2018-02-28,1207384.0,771102.0
Bk,2018-03-01,1186519.0,763801.0
Bk,2018-03-02,1023176.0,673219.0
Bk,2018-03-03,660433.0,472928.0
Bk,2018-03-04,541472.0,402217.0
Bk,2018-03-05,1183464.0,746310.0
